Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-01 08:01:00+02:00,2025-10-01 08:03:00+02:00,SHORT,-1.75,2.0,Divergence
2025-10-01 08:06:00+02:00,2025-10-01 08:06:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 08:10:00+02:00,2025-10-01 08:10:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 08:12:00+02:00,2025-10-01 08:16:00+02:00,SHORT,1.5,4.0,Divergence
2025-10-01 08:20:00+02:00,2025-10-01 08:20:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 08:26:00+02:00,2025-10-01 08:26:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 08:30:00+02:00,2025-10-01 08:30:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 08:37:00+02:00,2025-10-01 08:38:00+02:00,LONG,-5.5,1.0,Divergence
2025-10-01 08:41:00+02:00,2025-10-01 08:41:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 08:43:00+02:00,2025-10-01 08:44:00+02:00,SHORT,2.5,1.0,Divergence
2025-10-01 08:46:00+02:00,2025-10-01 08:48:00+02:00,SHORT,41.0,2.0,Divergence
2025-10-01 08:50:00+02:00,2025-10-01 08:50:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 08:52:00+02:00,2025-10-01 08:55:00+02:00,LONG,-17.0,3.0,Divergence
2025-10-01 08:57:00+02:00,2025-10-01 08:57:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 08:59:00+02:00,2025-10-01 08:59:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:01:00+02:00,2025-10-01 09:01:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:03:00+02:00,2025-10-01 09:03:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:05:00+02:00,2025-10-01 09:09:00+02:00,LONG,-17.0,4.0,Divergence
2025-10-01 09:11:00+02:00,2025-10-01 09:11:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:14:00+02:00,2025-10-01 09:14:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:16:00+02:00,2025-10-01 09:16:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:18:00+02:00,2025-10-01 09:18:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:21:00+02:00,2025-10-01 09:21:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:24:00+02:00,2025-10-01 09:24:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:27:00+02:00,2025-10-01 09:27:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:29:00+02:00,2025-10-01 09:32:00+02:00,LONG,17.5,3.0,Divergence
2025-10-01 09:34:00+02:00,2025-10-01 09:34:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:36:00+02:00,2025-10-01 09:37:00+02:00,SHORT,0.25,1.0,Divergence
2025-10-01 09:40:00+02:00,2025-10-01 09:40:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 09:42:00+02:00,2025-10-01 09:42:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:44:00+02:00,2025-10-01 09:48:00+02:00,LONG,-14.25,4.0,Divergence
2025-10-01 09:50:00+02:00,2025-10-01 09:52:00+02:00,LONG,-1.25,2.0,Divergence
2025-10-01 09:55:00+02:00,2025-10-01 09:55:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:57:00+02:00,2025-10-01 09:57:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 09:59:00+02:00,2025-10-01 09:59:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 10:01:00+02:00,2025-10-01 10:01:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 10:08:00+02:00,2025-10-01 10:10:00+02:00,SHORT,0.75,2.0,Divergence
2025-10-01 10:12:00+02:00,2025-10-01 10:12:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 10:15:00+02:00,2025-10-01 10:16:00+02:00,LONG,-3.5,1.0,Divergence
2025-10-01 10:19:00+02:00,2025-10-01 10:19:00+02:00,LONG,0.0,0.0,Divergence
