time,open,high,low,close,Volume
1764435900,90947.1,90947.1,90894.7,90913.6,32.829
1764435960,90913.6,90913.6,90877.3,90878.3,21.132
1764436020,90878.3,90879.1,90845.4,90849.2,29.737
1764436080,90849.2,90857.8,90819.8,90822.6,33.287
1764436140,90822.6,90830,90800,90830,39.433
1764436200,90830,90830,90783.9,90800,113.498
1764436260,90799.9,90800,90751.1,90751.1,83.366
1764436320,90751.1,90751.2,90683.6,90695.8,123.677
1764436380,90695.9,90704.2,90661,90704.2,89.174
1764436440,90704.2,90711.8,90667.4,90667.4,61.921
1764436500,90667.4,90739,90626.2,90630.2,237.999
1764436560,90630.3,90643.7,90539.3,90591,294.593
1764436620,90590.9,90687.2,90590.9,90664.2,70.906
1764436680,90664.2,90664.3,90603.9,90612.9,60.883
1764436740,90612.8,90704.8,90612.8,90700.3,75.334
1764436800,90700.3,90700.3,90657.6,90657.6,42.09
1764436860,90657.7,90657.7,90592.4,90602.6,58.882
1764436920,90602.5,90647.8,90602.5,90644.3,41.761
1764436980,90644.3,90660.7,90638,90652.1,33.97
1764437040,90652.1,90694.7,90652,90669.6,35.977
1764437100,90669.6,90685.8,90641.5,90647,21.588
1764437160,90646.9,90647,90614.2,90645.3,27.071
1764437220,90645.3,90667.3,90638,90662.9,13.02
1764437280,90662.9,90667.3,90662.8,90667.3,10.767
1764437340,90667.2,90683.2,90667.2,90670.1,25.836
1764437400,90670,90670.1,90627.8,90627.8,21.654
1764437460,90627.9,90638,90602,90602,19.044
1764437520,90602,90611.9,90592.1,90592.2,25.121
1764437580,90592.2,90592.2,90391.9,90461.9,482.405
1764437640,90461.9,90465.4,90420,90437.1,107.233
1764437700,90437.2,90540.9,90437.1,90519.4,191.57
1764437760,90519.2,90544,90508.5,90530.5,49.249
1764437820,90530.5,90594.4,90530.5,90567.8,73.856
1764437880,90567.8,90567.8,90536.8,90566.3,29.215
1764437940,90566.3,90595.1,90566.3,90570.7,47.622
1764438000,90570.7,90597.6,90553.1,90578.2,56.716
1764438060,90578.2,90589.5,90551.2,90556.1,67.026
1764438120,90556.1,90580.7,90556.1,90580.7,24.752
1764438180,90580.7,90580.7,90555.3,90555.4,29.227
1764438240,90555.4,90557.1,90529,90529,33.162
1764438300,90529,90582.3,90529,90582.3,32.077
1764438360,90582.3,90582.3,90513.3,90513.4,28.867
1764438420,90513.3,90513.4,90479,90497,72.188
1764438480,90497.1,90514,90460.4,90460.5,58.407
1764438540,90460.4,90496.8,90460,90475.1,32.862
1764438600,90475,90481.9,90402.8,90439.9,149.001
1764438660,90439.9,90468,90435,90464.3,34.368
1764438720,90464.3,90500,90464.3,90479.5,37.186
1764438780,90479.5,90506.6,90464.3,90499.5,29.14
1764438840,90499.4,90499.5,90434.9,90447.2,74.094
1764438900,90447.2,90452,90400,90415.8,141.985
1764438960,90415.8,90436.5,90409.9,90436.5,31.735
1764439020,90436.5,90451.9,90430.8,90440.7,36.024
1764439080,90440.7,90440.7,90420.1,90428.1,48.497
1764439140,90428.1,90428.2,90381.1,90381.2,154.695
1764439200,90381.1,90428.3,90355,90416.3,159.173
1764439260,90416.2,90466.5,90416.2,90454.6,62.684
1764439320,90454.7,90454.7,90335.2,90390.3,157.997
1764439380,90390.3,90495.1,90390.2,90465.9,108.712
1764439440,90465.9,90481.2,90350.3,90361.5,230.286
1764439500,90361.5,90383.7,90314.6,90376.1,200.182
1764439560,90376,90478.3,90376,90473,127.073
1764439620,90473,90509.3,90457.4,90497.2,109.042
1764439680,90497.2,90502.1,90463.5,90463.6,26.69
1764439740,90463.5,90481.2,90463.5,90465.5,21.749
1764439800,90465.5,90481.5,90451.7,90468,26.784
1764439860,90468,90492.4,90464.3,90492.3,28.191
1764439920,90492.4,90492.4,90326.9,90326.9,139.604
1764439980,90326.9,90326.9,90092.7,90245.5,1338.611
1764440040,90245.5,90329,90200.1,90328.9,238.878
1764440100,90328.9,90475.2,90294.5,90435.5,234.846
1764440160,90435.5,90435.5,90283.1,90283.2,173.565
1764440220,90283.2,90329,90283.1,90295.1,68.682
1764440280,90295.2,90295.2,90191.6,90193.1,113.525
1764440340,90193.1,90247.8,90150,90247.8,181.223
1764440400,90247.8,90324.5,90247.8,90324.5,67.397
1764440460,90324.5,90333,90305.1,90319.5,37.898
1764440520,90319.5,90330.7,90308.9,90314,25.041
1764440580,90314,90331.9,90273.5,90273.5,36.054
1764440640,90273.5,90280.8,90240.3,90245.7,38.836
1764440700,90245.7,90282.4,90229.3,90274.5,48.356
1764440760,90274.5,90283.1,90229.2,90236.6,39.344
1764440820,90236.5,90236.6,90181.7,90181.8,78.122
1764440880,90181.8,90216,90181.7,90215.9,57.966
1764440940,90215.9,90252.9,90209.9,90252.8,26.89
1764441000,90252.9,90252.9,90166.1,90210.6,52.089
1764441060,90210.5,90282.6,90210.5,90251.2,47.401
1764441120,90251.2,90266.1,90223.5,90266,53.106
1764441180,90266.1,90398,90266,90339.5,171.867
1764441240,90339.5,90339.5,90257.2,90308.5,72.647
1764441300,90308.4,90308.4,90292,90306.8,33.65
1764441360,90306.7,90440.1,90306.7,90413.6,253.642
1764441420,90413.5,90440.1,90402,90435.3,50.475
1764441480,90435.2,90455,90411,90440.6,45.344
1764441540,90440.6,90450,90406.6,90406.7,47.928
1764441600,90406.6,90433.8,90402.5,90433.8,23.114
1764441660,90433.7,90439.2,90420,90420.1,13.956
1764441720,90420,90458,90406.6,90449.8,46.833
1764441780,90449.9,90491.7,90449.8,90474.5,44.246
1764441840,90474.5,90602.9,90462.4,90540.4,612.83
1764441900,90540.4,90620,90513.6,90609.3,123.722
1764441960,90609.4,90640,90561.2,90561.2,193.756
1764442020,90561.2,90561.3,90527.6,90527.6,33.407
1764442080,90527.7,90551.7,90527.6,90532,25.591
1764442140,90532,90586.7,90532,90579.3,44.672
1764442200,90579.4,90595.7,90563.7,90595.6,54.523
1764442260,90595.7,90627.8,90595.6,90627.7,78.19
1764442320,90627.7,90650,90627.7,90649.9,72.777
1764442380,90649.9,90681.5,90642.3,90642.4,58.598
1764442440,90642.3,90642.4,90594.8,90594.9,23.261
1764442500,90594.8,90674.1,90594.8,90651.3,49.572
1764442560,90651.4,90663.4,90639.6,90639.7,27.864
1764442620,90639.7,90670.2,90628.7,90628.8,94.134
1764442680,90628.8,90685.9,90628.7,90667.7,44.864
1764442740,90667.6,90667.7,90652.8,90652.9,19.344
1764442800,90652.9,90679.1,90621.3,90629.1,105.873
1764442860,90629.2,90647.6,90629.1,90629.1,25.951
1764442920,90629.1,90629.2,90594,90597.5,25.627
1764442980,90597.4,90613.1,90595.3,90595.3,16.63
1764443040,90595.3,90595.4,90579.9,90587.8,19.04
1764443100,90587.7,90688,90563.6,90683.6,110.272
1764443160,90683.6,90713.5,90681.8,90703.2,62.419
1764443220,90703.2,90703.2,90642.3,90642.4,28.518
1764443280,90642.3,90670,90642.3,90669.9,22.673
1764443340,90670,90738.8,90669.9,90737.9,100.894
1764443400,90738,90738,90723.7,90736.2,28.64
1764443460,90736.2,90736.2,90736.1,90736.1,12.894
1764443520,90736.2,90753.6,90729.9,90753.5,50.537
1764443580,90753.5,90755.1,90731.6,90731.6,26.182
1764443640,90731.6,90744.3,90688,90688,26.12
1764443700,90688,90699,90657.4,90698.9,29.726
1764443760,90698.9,90719.2,90694.8,90719.2,13.346
1764443820,90719.2,90733.6,90719.2,90726.1,10.947
1764443880,90726,90734.8,90683.9,90685.1,44.867
1764443940,90685.2,90697.8,90685.2,90687.8,14.045
1764444000,90687.8,90722.9,90687.8,90722.8,14.498
