time,open,high,low,close,Volume
1764543600,25482.5,25546,25457.5,25514,746
1764543660,25512.75,25518.75,25494.75,25497.75,388
1764543720,25496.75,25509.5,25488,25493.25,412
1764543780,25494,25495,25471.25,25476.5,400
1764543840,25475.5,25494.75,25471.25,25475,292
1764543900,25474,25483.25,25469.75,25480,266
1764543960,25479.5,25489.75,25478,25488,185
1764544020,25488,25498,25486,25492,208
1764544080,25491,25499.5,25490.75,25497.25,265
1764544140,25496.75,25500,25494.25,25498.25,129
1764544200,25498.5,25498.5,25491.75,25495,118
1764544260,25494.5,25495.25,25489.25,25490,107
1764544320,25489,25500,25486.5,25494.5,276
1764544380,25494.5,25497,25490.25,25496.75,75
1764544440,25496.5,25502,25495.5,25501.75,59
1764544500,25502.25,25506.5,25496.25,25497,301
1764544560,25495.5,25503.25,25493,25500.5,86
1764544620,25501.5,25502.5,25496.75,25502.5,53
1764544680,25501.75,25510.25,25501.25,25506.5,141
1764544740,25508.75,25515,25506.75,25512,206
1764544800,25512.75,25516.25,25510.25,25514,142
1764544860,25514,25516.5,25514,25515.25,96
1764544920,25515,25515.5,25510,25512,76
1764544980,25511.75,25511.75,25506.5,25508.5,130
1764545040,25510,25515.5,25507.75,25515.5,126
1764545100,25515.75,25524.25,25513.5,25515.5,330
1764545160,25516.5,25519.75,25506.75,25506.75,107
1764545220,25505.75,25510,25504.25,25504.25,105
1764545280,25505.25,25506.5,25498.75,25499.75,136
1764545340,25501,25501,25495.5,25498.5,67
1764545400,25498.25,25500.5,25480.5,25483,366
1764545460,25480.25,25481,25467,25475.25,380
1764545520,25477,25481.5,25470.75,25473.25,195
1764545580,25473.25,25483,25473.25,25476,139
1764545640,25475,25475,25461,25461.75,342
1764545700,25462.25,25471.25,25457.75,25467.5,235
1764545760,25468,25478.5,25465.75,25473.5,294
1764545820,25470.5,25472.25,25467.5,25472,81
1764545880,25472.75,25472.75,25467.5,25472.75,53
1764545940,25472.75,25474.5,25461,25462.5,194
1764546000,25463.5,25464.75,25447.75,25452.75,376
1764546060,25454,25465,25453.5,25462.5,147
1764546120,25462,25462.5,25455.75,25457.75,93
1764546180,25459.25,25459.25,25449,25449,143
1764546240,25450,25451.5,25443.25,25445.25,169
1764546300,25443.5,25459.75,25442.75,25458.5,213
1764546360,25456.75,25456.75,25447,25455.25,164
1764546420,25454.5,25458,25448,25455.75,136
1764546480,25454.75,25459.75,25454.75,25457.5,96
1764546540,25457,25458.75,25454.25,25458.25,64
1764546600,25457.25,25467.25,25456.25,25464.5,209
1764546660,25463.25,25470.5,25462,25467,211
1764546720,25466.75,25471,25466,25467.25,71
1764546780,25467.25,25467.25,25459.75,25459.75,98
1764546840,25459,25469.25,25455.25,25467.75,169
1764546900,25467.5,25478,25467.5,25474,193
1764546960,25473.25,25477.5,25465,25470,125
1764547020,25469.75,25470.25,25462.5,25466.5,82
1764547080,25465.25,25466,25459.25,25464.5,133
1764547140,25464,25470,25462.75,25466.25,93
1764547200,25467.5,25471,25460,25465.75,205
1764547260,25465.75,25468.5,25462.25,25462.25,77
1764547320,25461.25,25462,25447.5,25449.25,262
1764547380,25449.5,25457.25,25446.25,25446.5,206
1764547440,25446.5,25450.75,25435.5,25445,457
1764547500,25446.5,25450,25434.75,25436.75,240
1764547560,25437,25437,25428,25431.25,320
1764547620,25432.25,25436,25420,25421.75,297
1764547680,25421,25421.5,25409.5,25418.5,376
1764547740,25418.25,25425.75,25411.25,25418.25,169
1764547800,25417,25418,25410.25,25413.75,146
1764547860,25415,25417,25401.75,25408.5,342
1764547920,25408.5,25409.5,25404,25406,123
1764547980,25406,25406.25,25402,25403.5,144
1764548040,25406,25417.75,25404,25415,194
1764548100,25414.5,25425.5,25412.75,25420.5,285
1764548160,25419.5,25423.75,25416.25,25421.25,144
1764548220,25421.5,25425.5,25418.25,25419.5,118
1764548280,25420,25422.25,25412.5,25412.5,137
1764548340,25413.5,25413.5,25403,25406,275
1764548400,25406,25409.75,25396.5,25396.5,573
1764548460,25397,25398.25,25381.25,25389.25,608
1764548520,25390.5,25395.25,25379,25382.25,274
1764548580,25382.75,25388.25,25375,25386.25,335
1764548640,25385,25391.25,25380.5,25384.5,338
1764548700,25382.25,25382.75,25357,25369,724
1764548760,25369.5,25384.25,25369.5,25380.25,281
1764548820,25377.75,25383.25,25369.5,25381.5,222
1764548880,25381.5,25389,25380.75,25383,185
1764548940,25384,25392.25,25382.5,25391,177
1764549000,25389.75,25396,25384.75,25391.25,226
1764549060,25388,25391.25,25380.5,25385.75,171
1764549120,25386,25389,25380,25382.5,141
1764549180,25383,25383.25,25376,25383.25,164
1764549240,25382.25,25384.75,25379,25382.25,88
1764549300,25383.25,25386.25,25378.25,25386.25,100
1764549360,25384,25387.75,25375.75,25376.75,173
1764549420,25376.75,25383.25,25372.75,25375.25,192
1764549480,25376,25378,25361.5,25367.25,338
1764549540,25368,25374.75,25361.75,25372.75,223
1764549600,25372.25,25375.5,25364.75,25365,235
1764549660,25366.25,25368.25,25360.5,25367,196
1764549720,25367,25372.5,25353.5,25355.5,401
1764549780,25357.75,25358,25345.75,25352.25,436
1764549840,25352.25,25353.25,25336,25346.25,472
1764549900,25346.5,25347,25325,25329.5,461
1764549960,25328.75,25332.75,25322.5,25332,290
1764550020,25331,25331.25,25320.5,25328.25,329
1764550080,25327.5,25332.75,25317.75,25324.75,282
1764550140,25325,25336.75,25322.5,25335.5,172
1764550200,25335,25343.5,25327.75,25331.5,386
1764550260,25330,25331.25,25319.25,25322.75,247
1764550320,25323.25,25333,25320,25320.25,302
1764550380,25320.25,25325.25,25311.25,25323,504
1764550440,25322.25,25329.25,25313.5,25324,515
1764550500,25323.5,25330,25313.5,25313.5,379
1764550560,25314,25322,25305.25,25319.5,349
1764550620,25321.5,25327.5,25315.25,25321.75,160
1764550680,25320,25321.25,25309.5,25320,324
1764550740,25320.25,25329.5,25320,25321,200
1764550800,25320.75,25329.25,25291.25,25301.75,954
1764550860,25302.25,25319.5,25302.25,25316.25,617
1764550920,25316,25323.75,25313,25315.75,361
1764550980,25316.5,25321,25311.5,25316.5,193
1764551040,25315.75,25322,25312.25,25320,177
1764551100,25318.5,25324,25311,25320,298
1764551160,25319.25,25321,25309,25316,260
1764551220,25316.25,25317.75,25309.75,25312,117
1764551280,25312.25,25312.5,25300,25306,284
1764551340,25306,25307,25293,25297.25,407
1764551400,25296.25,25299.25,25266,25293.75,1195
1764551460,25293,25305.5,25291.75,25298.5,348
1764551520,25297.75,25300.25,25288.5,25296,203
1764551580,25297,25311.5,25296.25,25304.75,302
1764551640,25304.5,25305.5,25292,25301.25,178
1764551700,25299.75,25310.75,25294.75,25309,323
1764551760,25307.75,25322.5,25304.75,25317.5,310
1764551820,25317,25325.75,25315.5,25319,280
1764551880,25320.25,25324.75,25315.5,25320.5,163
